Marca	Sku	Modelo	Color	Tipo
MOTOROLA	MOTOG06256GBPAZL	MOTOROLA MOTO G06 256GB	AZUL	SOLO
MOTOROLA	MOTOG35NEGRO256GB	MOTOROLA G35 256GB	NEGRO	SOLO
MOTOROLA	MOTOG56BKAZUL256GB	MOTOROLA G56 256GB 5G	AZUL	SOLO
MOTOROLA	MOTOG56PVERDE256GB	MOTOROLA G56 256GB 5G	VERDE	SOLO
MOTOROLA	MOTOG77BK256GB5G	MOTOROLA MOTO G77 256GB 5G	NEGRO	SOLO
MOTOROLA	MOTOEDG70FUS256GBAZL	MOTOROLA MOTO EDGE 70 FUSION 256GB 5G	AZUL	SOLO
MOTOROLA	MOTOG86PWRBKAZL256GB	MOTO G86 POWER 256GB	AZUL	SOLO
OPPO	OPPOA5256GBLANCO	OPPO A5 256GB 5G	BLANCO	SOLO
OPPO	OPPOA5256GBVERDE	OPPO A5 256GB 5G	VERDE	SOLO
OPPO	OPPOA5X128GBBL	OPPO A5X 128GB 4G	BLANCO	SOLO
OPPO	OPPOA5X128GBAZ	OPPO A5X 128GB 4G	AZUL	SOLO
OPPO	OPPOA6X256GBG	OPPO A6X 256GB 4G	GRIS	SOLO
OPPO	OPPOA6X256GBMOR	OPPO A6X 256GB 4G	MORADO	SOLO
OPPO	PKOPPOR14F256GBVDAUD	OPPO RENO 14F 256 GB	VERDE	PACK
OPPO	PKOPPOR14F256GBAZAUD	OPPO RENO 14F 256 GB	AZUL	PACK
OPPO	PKOPPOR14F512GBVDAUD	OPPO RENO 14F 512 GB	VERDE	PACK
OPPO	PKOPA6PRO256GBAZBSPK	OPPO A6 PRO 256GB	AZUL	PACK
OPPO	PKOPA6PRO256GBRSBSPK	OPPO A6 PRO 256GB	ROSA	PACK
OPPO	PKOPR14F512GBAZWHTWS	OPPO RENO 14F 512 GB A	AZUL	PACK
SAMSUNG	SGLXYA0764GBBL	SAMSUNG GALAXY A07 64GB 4G	NEGRO	SOLO
SAMSUNG	SGLXYA07128GBBL	SAMSUNG GALAXY A07 128GB 4G	NEGRO	SOLO
SAMSUNG	SGLXYA17128GBBL	SAMSUNG GALAXY A17 128GB	NEGRO	SOLO
SAMSUNG	SGLXYA26BK128GB	SAMSUNG GALAXY A26 128GB	NEGRO	SOLO
SAMSUNG	SGLXYA26BK256GB	SAMSUNG GALAXY A26 256GB	NEGRO	SOLO
SAMSUNG	SGLXYA37256GBGRAY5G	SAMSUNG GALAXY A37 5G	GRIS	SOLO
SAMSUNG	SGLXYA56AWGRPH256GB	SAMSUNG GALAXY A56 256GB 5G	NEGRO	SOLO
SAMSUNG	SGLXYA57256GBDBL5G	SAMSUNG GALAXY A57 5G	AZUL	SOLO
SAMSUNG	SGLXYS24ULTBK256GB	SAMSUNG GALAXY S24 ULTRA 256GB	NEGRO	SOLO
SAMSUNG	SGLXYS25FE128GBJBL	SAMSUNG GALAXY S25 FE 128GB	NEGRO	SOLO
SAMSUNG	SGLXYS25FE256GBJBL	SAMSUNG GALAXY S25 FE 256GB	NEGRO	SOLO
SAMSUNG	SGLXYS25FE256GBNAV	SAMSUNG GALAXY S25 FE 256GB	AZUL	SOLO
SAMSUNG	SGLXYS25ULTTIBK256GB	SAMSUNG GALAXY S25 ULTRA 256GB	NEGRO	SOLO
SAMSUNG	SGLXYS25ULTGRAY256GB	SAMSUNG GALAXY S25 ULTRA 256GB	GRIS	SOLO
SAMSUNG	SAGLXYS26BK256GB	SAMSUNG GALAXY S26 256GB 5G	NEGRO	SOLO
SAMSUNG	SAGLXYS26VLT256GB	SAMSUNG GALAXY S26 256GB 5G	MORADO	SOLO
SAMSUNG	SAGLXYS26PLBK256GB	SAMSUNG GALAXY S26 PLUS 256GB 5G	NEGRO	SOLO
SAMSUNG	SAGLXYS26PLVLT256GB	SAMSUNG GALAXY S26 PLUS 256GB 5G	MORADO	SOLO
